"thai","german","transliteration","pos","tags","lesson","exampleThai","exampleGerman"
"สามี","Ehemann","saa-mii","Nomen","Family,A2","3","สามีเขาไปไหน์ชำมื่อ","Mein Mann wurde erledigt ist bei Arbeit."
"ภรรยา","Ehefrau","phan-ra-yaa","Nomen","Family,A2","3","ภรรยาทำงานโรงแรม","Meine Ehefrau verwaltet das Hotel."
"ใบเสร็จ","Quittung","bai-set","Nomen","Shopping,A2","3","พนักงานให้ฉันใบเสร็จ","Der Verkäufer gab mir die Quittung."
"โทรศัพท์","Telefon","tho-ra-sap","Nomen","Phone,A1","3","โทรศัพท์ของฉันหาย","Mein Telefon ist verloren."
"อินเทอร์เณ็ต","Internet","in-thoe-noet","Nomen","Work,A2","3","Internetภายเร็วนิปวน","Das Internet ist schnell."
"อีเมล","E-Mail","ii-meo","Nomen","Work,A2","3","เสร็จ E-Mail อยู่ไหน","Wo ist die E-Mail?"
"ชื่อ","Name","chue","Nomen","Basics,A1","3","ชื่อของฉันคือ Jack","Mein Name ist Jack."
"อายุ","Alter","aa-yu","Nomen","Basics,A1","3","ฉันอายุหาห้าปี","Ich bin fünfundzwanzig Jahre alt."
"ที่อยู่","Adresse","thii-yuu","Nomen","Basics,A2","3","ที่อยู่ของฉันสงครมหลายคุงเทพ","Meine Adresse ist in Bangkok."
"เพื่อน","Freund(in)","phuean","Nomen","Basics,A1","3","เพื่อนของฉันสุขุณ","Mein Freund ist sehr freundlich."
"ตำรวจ","Polizei","tam-ruat","Nomen","Basics,A2","3","ตำรวจช่วยเหตุรหส","Die Polizei hilft Menschen."
"ร้านกาแฟ","Café","raan-gaa-fae","Nomen","Food,A2","3","เราไปร้านกาแฟสักภาวินบรีหลิซิ่","Lass uns zu einem Café gehen und einen Kaffee trinken."
"ซูเปอร์มาร์เก็ต","Supermarkt","suu-per-maa-ket","Nomen","Shopping,A2","3","ซูเปอร์มาร์เก็ตไกลเหือ","Der Supermarkt ist gross."
"ไปรษณีย์","Post","prai-sa-nii","Nomen","Basics,A2","3","ไปรษณีย์ปิดเมื่อทำงานเสาร์","Die Post ist von Montag bis Samstag offen."
"โรงหนัง","Kino","rong-nang","Nomen","Leisure,A2","3","เราไปโรงหนังนั่ว","Lass uns heute ins Kino gehen."
"สวนสาธารณะ","Park","suan-saa-thaa-ra-na","Nomen","Travel,A2","3","ป่สวนสาธารณะข่างหน้อยกี่คน","Der Park hat viele Bäume."
"ห้องนั่งเล่น","Wohnzimmer","hong-nang-len","Nomen","Home,A2","3","เราดูทีวีหอในห้องนั่งเล่น","Wollen wir fernschauen im Wohnzimmer?"
"ห้องนอน","Schlafzimmer","hong-non","Nomen","Home,A1","3","ฉันนอนเกือหี้องโเชุ","Ich schlafe im Schlafzimmer."
"ห้องเรียน","Klassenzimmer","hong-rian","Nomen","Education,A2","3","วัอะเมื่อจากห้องเรียน","Wann verlasse ich das Klassenzimmer?"
"สนามกีฬา","Sportplatz","sa-naam-gii-laa","Nomen","Leisure,A2","3","เราสำกลิกคนในสนามกีฬา","Lass uns auf dem Sportplatz Sport machen."
"สถานีรถไฟ","Bahnhof","sa-thaa-nii-rot-fai","Nomen","Travel,A2","3","สถานีรถไฟอยู่ไกลไหม","Der Bahnhof ist weit weg."
"ป้ายรถเมล์","Bushaltestelle","paai-rot-may","Nomen","Travel,A2","3","ป้ายรถเมล์ใคหุ๋ายไม่ไกล","Die Bushaltestelle ist nicht weit entfernt."
"ร้านเสื้อผ้า","Kleidungsladen","raan-suea-phaa","Nomen","Shopping,A2","3","ร้านเสื้อผ้ามีเสื้อสวย","Der Kleidungsladen hat schöne Hemden."
"ตลาดนัด","Flohmarkt","ta-laat-nat","Nomen","Shopping,A2","3","ตลาดนัดเปิดเฉพาะวันเสาร์อาทิตย์","Der Flohmarkt ist nur am Wochenende offen."
"ของขวัญ","Geschenk","khong-khwan","Nomen","Shopping,A2","3","ของขวัญนี้สวยมาก","Dieses Geschenk ist sehr schön."
"รูป","Foto/Bild","ruup","Nomen","Basics,A1","3","ขอบจ่อต่องถีหรืองไหม","Kann ich ein Foto machen?"
"กล้อง","Kamera","glong","Nomen","Basics,A2","3","Kamera ของฉันใหม","Meine Kamera ist neu."
"เพลง","Lied","phleng","Nomen","Leisure,A1","3","Das Lied นี้ชอบมาก","Ich mag dieses Lied."
"ดนตรี","Musik","don-trii","Nomen","Leisure,A2","3","ดนตรีเยัอปอปดเหมียคหงมีคุณคคลที่กำหนด","Thai-Musik ist interessant."
"กีฬา","Sport","gii-laa","Nomen","Leisure,A2","3","Sport แลวหลักไหงห่า","Sport ist gesund."
"อากาศ","Wetter/Luft","aa-kaat","Nomen","Weather,A1","3","แดดวันนี้สวยโดดไม่","Das Wetter heute ist schön."
"ฝน","Regen","fon","Nomen","Weather,A1","3","มีหรืดจตนวันเคา","Es regnet heute."
"แดด","Sonne","daet","Nomen","Weather,A1","3","Die Sonne แสขโวคเณาิคดจมะศมุผิงใจแสวลหุทาง","Die Sonne scheint sehr hell."
"ลม","Wind","lom","Nomen","Weather,A1","3","มีลมผุ่งมูลวันนี้","Es ist windig heute."
"เมฆ","Wolke","mek","Nomen","Weather,A2","3","ท้องฟ้ามีเมฆมาก","Der Himmel ist voll von Wolken."
"บัตรประชาชน","Ausweis","bat-pra-chaa-chon","Nomen","Basics,A2","3","ฉันต้องมีบัตรประชาชน","Ich brauche einen Ausweis."
"หนังสือเดินทาง","Reisepass","nang-sue-doen-thaang","Nomen","Travel,A2","3","ฉันต้องการหนังสือเดินทาง","Ich brauche einen Reisepass."
"โรงงาน","Fabrik","rong-ngaan","Nomen","Work,A2","3","เขาทำงานในโรงงาน","Er arbeitet in einer Fabrik."
"บริษัท","Firma","bo-ri-sat","Nomen","Work,A2","3","ฉันทำงานในบริษัท","Ich arbeite in einer Firma."
"หัวหน้า","Chef","hua-naa","Nomen","Work,A2","3","หัวหน้าของฉันดี","Mein Chef ist nett."
"เพื่อนร่วมงาน","Kollege","phuean-ruam-ngaan","Nomen","Work,A2","3","เพื่อนร่วมงานของฉันสนใจภาษาไทย","Mein Kollege interessiert sich für Thai."
"เงินเดือน","Gehalt","ngoen-deuan","Nomen","Work,A2","3","เงินเดือนเพียงพอหรือไม่","Das Gehalt ist ausreichend."
"วันหยุด","Freientag","wan-yut","Nomen","Work,A2","3","ฉันมีวันหยุดพรุ่งนี้","Ich habe morgen frei."
"ปัญหา","Problem","pan-haa","Nomen","Basics,A2","3","มีปัญหาอะไร","Welches Problem gibt es?"
"คำถาม","Frage","kham-thaam","Nomen","Education,A2","3","ฉันมีคำถาม","Ich habe eine Frage."
"คำตอบ","Antwort","kham-top","Nomen","Education,A2","3","คำตอบนี้ถูก","Die Antwort ist richtig."
"ข้อสอบ","Prüfung","kho-sop","Nomen","Education,A2","3","ข้อสอบยาก","Die Prüfung ist schwierig."
"นัดหมาย","Termin","nat-maai","Nomen","Basics,A2","3","ฉันมีนัดหมายวันพรุ่งนี้","Ich habe morgen einen Termin."
"ข่าว","Nachricht","khao","Nomen","Basics,A2","3","ฉันได้รับข่าวดี","Ich habe gute Nachrichten erhalten."
"ภาษาไทย","Thailändisch (Sprache)","phaa-saa-thai","Nomen","Education,A1","3","ฉันเรียนภาษาไทย","Ich lerne Thai."
"ภาษาเยอรมัน","Deutsch (Sprache)","phaa-saa-yoe-ra-man","Nomen","Education,A2","3","ฉันรักภาษาเยอรมัน","Ich liebe Deutsch."
"ภาษาอังกฤษ","Englisch (Sprache)","phaa-saa-ang-grit","Nomen","Education,A1","3","เขาพูดภาษาอังกฤษ","Er spricht Englisch."
"เสื้อ","Shirt","suea","Nomen","Clothes,A1","3","เสื้อของฉันแดง","Mein Shirt ist rot."
"กางเกง","Hose","gaang-geng","Nomen","Clothes,A1","3","กางเกงใหม่ของฉัน","Meine neue Hose."
"รองเท้า","Schuhe","rong-thao","Nomen","Clothes,A1","3","รองเท้าสีขาว","Die Schuhe sind weiß."
"กระเป๋า","Tasche/Koffer","kra-pao","Nomen","Travel,A1","3","กระเป๋าของฉันเหลว","Meine Tasche ist schwer."
"หมวก","Hut","muak","Nomen","Clothes,A2","3","หมวกสีดำ","Der Hut ist schwarz."
"แว่นตา","Brille","waen-taa","Nomen","Clothes,A2","3","แว่นตาของฉัน","Meine Brille."
"นาฬิกา","Uhr","naa-li-gaa","Nomen","Clothes,A2","3","นาฬิกาบอก 3 โมง","Die Uhr zeigt 3 Uhr."
"สี","Farbe","sii","Nomen","Basics,A1","3","ฉันชอบสีแดง","Ich mag rot."
"แดง","rot","daeng","Adjektiv","Basics,A1","3","มันแดง","Es ist rot."
"เขียว","grün","khiao","Adjektiv","Basics,A1","3","มันเขียว","Es ist grün."
"เหลือง","gelb","lueang","Adjektiv","Basics,A1","3","มันเหลือง","Es ist gelb."
"น้ำเงิน","blau","naam-ngoen","Adjektiv","Basics,A1","3","มันน้ำเงิน","Es ist blau."
"ดำ","schwarz","dam","Adjektiv","Basics,A1","4","มันดำ","Es ist schwarz."
"ขาว","weiß","khao","Adjektiv","Basics,A1","4","มันขาว","Es ist weiß."
"น้ำตาล","braun","naam-taan","Adjektiv","Basics,A2","4","มันน้ำตาล","Es ist braun."
"ชมพู","rosa","chom-phuu","Adjektiv","Basics,A2","4","มันชมพู","Es ist rosa."
"เทา","grau","thao","Adjektiv","Basics,A2","4","มันเทา","Es ist grau."
"ตรงไป","geradeaus","trong-pai","Phrase","Travel,A1","4","ตรงไป","geradeaus"
"เลี้ยวซ้าย","links abbiegen","liao-saai","Phrase","Travel,A2","4","เลี้ยวซ้าย","links abbiegen"
"เลี้ยวขวา","rechts abbiegen","liao-khwaa","Phrase","Travel,A2","4","เลี้ยวขวา","rechts abbiegen"
"หยุด","stoppen","yut","Verb","Travel,A2","4","ฉันหยุด","Ich halte an."
"เริ่มต้น","anfangen","roem-ton","Verb","Basics,A2","4","ฉันเริ่มต้น","Ich fange an."
"สำคัญ","wichtig","sam-khan","Adjektiv","Basics,A2","4","มันสำคัญ","Es ist wichtig."
"จำเป็น","notwendig","jam-pen","Adjektiv","Basics,A2","4","มันจำเป็น","Es ist notwendig."
"ปลอดภัย","sicher","plot-phai","Adjektiv","Basics,A2","4","มันปลอดภัย","Es ist sicher."
"ทำกับข้าว","kochen","tham-kap-khao","Verb","Food,A2","4","ฉันทำกับข้าว","Ich koche."
"ลืม","vergessen","luem","Verb","Basics,A2","4","ฉันลืม","Ich vergesse."
"จำ","sich erinnern","jam","Verb","Basics,A2","4","ฉันจำ","Ich erinnere mich."
"พบ","treffen","phop","Verb","Basics,A2","4","ฉันพบ","Ich treffe."
"ลอง","probieren","long","Verb","Basics,A2","4","ฉันลอง","Ich probiere."
"เลือก","auswählen","lueak","Verb","Shopping,A2","4","ฉันเลือก","Ich wähle aus."
"ขอ","bitten/verlangen","kho","Verb","Basics,A1","4","ฉันขอ","Ich bitte/verlange."
"ต้อง","müssen","tong","Verb","Basics,A2","4","ฉันต้อง","Ich muss."
"อธิบาย","erklären","a-thi-baai","Verb","Education,A2","4","ฉันอธิบาย","Ich erkläre."
"แนะนำ","empfehlen/vorstellen","nae-nam","Verb","Basics,A2","4","ฉันแนะนำ","Ich empfehle/stelle vor."
"เตรียม","vorbereiten","triam","Verb","Basics,A2","4","ฉันเตรียม","Ich bereite vor."
"จอง","reservieren","jong","Verb","Travel,A2","4","ฉันจอง","Ich reserviere."
"เดินทาง","reisen","doen-thaang","Verb","Travel,A2","4","ฉันเดินทาง","Ich reise."
"เที่ยว","reisen/ausgehen","thiao","Verb","Travel,A1","4","ฉันเที่ยว","Ich reise/gehe aus."
"เยี่ยม","besuchen","yiam","Verb","Basics,A2","4","ฉันเยี่ยม","Ich besuche."
"โทรกลับ","zurückrufen","tho-klap","Verb","Phone,A2","4","ฉันโทรกลับ","Ich rufe zurück."
"ส่งข้อความ","Nachricht senden","song-kho-khwaam","Verb","Phone,A2","4","ฉันส่งข้อความ","Ich sende eine Nachricht."
"ถ่ายเอกสาร","kopieren","thaai-eek-ka-saan","Verb","Work,A2","4","ฉันถ่ายเอกสาร","Ich kopiere."
"พิมพ์","tippen/drucken","phim","Verb","Work,A2","4","ฉันพิมพ์","Ich tippe/drucke."
"ซ่อม","reparieren","som","Verb","Home,A2","4","ฉันซ่อม","Ich repariere."
"ชำระเงิน","bezahlen","cham-ra-ngoen","Verb","Shopping,A2","4","ฉันชำระเงิน","Ich bezahle."
"ขึ้นรถ","einsteigen","khuen-rot","Verb","Travel,A2","4","ฉันขึ้นรถ","Ich steige ein."
"ลงรถ","aussteigen","long-rot","Verb","Travel,A2","4","ฉันลงรถ","Ich steige aus."
"เปลี่ยน","wechseln","plian","Verb","Basics,A2","4","ฉันเปลี่ยน","Ich wechsle."
"ย้าย","umziehen/versetzen","yaai","Verb","Basics,A2","4","ฉันย้าย","Ich ziehe um/versetze."
"เริ่มเรียน","anfangen zu lernen","roem-rian","Verb","Education,A2","4","ฉันเริ่มเรียน","Ich fange an zu lernen."
"หยุดพัก","Pause machen","yut-phak","Verb","Work,A2","4","ฉันหยุดพัก","Ich mache Pause."
"สูง","hoch","suung","Adjektiv","Basics,A1","4","มันสูง","Es ist hoch."
"ต่ำ","niedrig","tam","Adjektiv","Basics,A2","4","มันต่ำ","Es ist niedrig."
"หนัก","schwer","nak","Adjektiv","Basics,A2","4","มันหนัก","Es ist schwer."
"เบา","leicht","bao","Adjektiv","Basics,A2","4","มันเบา","Es ist leicht."
"ใกล้","nah","glai","Adjektiv","Travel,A1","4","มันใกล้","Es ist nah."
"ไกล","weit","glai","Adjektiv","Travel,A1","4","มันไกล","Es ist weit."
"เต็ม","voll","tem","Adjektiv","Basics,A2","4","มันเต็ม","Es ist voll."
"ว่างเปล่า","leer","waang-plao","Adjektiv","Basics,A2","4","มันว่างเปล่า","Es ist leer."
"พร้อม","bereit","phrom","Adjektiv","Basics,A2","4","มันพร้อม","Es ist bereit."
"จริง","echt/wirklich","jing","Adjektiv","Basics,A2","4","มันจริง","Es ist echt/wirklich."
"เร็วๆนี้","bald","reo-reo-nii","Adverb","Basics,A2","4","เร็วๆนี้","bald"
"ทันที","sofort","than-thii","Adverb","Basics,A2","4","ทันที","sofort"
"ช้าๆ","langsam (bitte)","chaa-chaa","Adverb","Basics,A2","4","ช้าๆ","langsam (bitte)"
"โต๊ะทำงาน","Schreibtisch","to-tham-ngaan","Nomen","Work,A2","4","โต๊ะทำงานของฉันสะอาด","Mein Schreibtisch ist sauber."
"คีย์บอร์ด","Tastatur","khii-bot","Nomen","Work,A2","4","ฉันพิมพ์ด้วยคีย์บอร์ด","Ich tippe mit der Tastatur."
"เมาส์","Maus (PC)","mao","Nomen","Work,A2","4","เมาส์ไม่ทำงาน","Die Maus funktioniert nicht."
"หน้าจอ","Bildschirm","naa-jor","Nomen","Work,A2","4","หน้าจอใหญ่มาก","Der Bildschirm ist sehr groß."
"เครื่องพิมพ์","Drucker","khrueang-phim","Nomen","Work,A2","4","เครื่องพิมพ์เสีย","Der Drucker ist kaputt."
"ปลั๊กไฟ","Steckdose","plak-fai","Nomen","Home,A2","4","ปลั๊กไฟอยู่ไหน","Wo ist die Steckdose?"
"สายชาร์จ","Ladekabel","saai-chaat","Nomen","Phone,A2","4","ฉันต้องการสายชาร์จ","Ich brauche ein Ladekabel."
"แบตเตอรี่","Batterie","bae-toe-rii","Nomen","Phone,A2","4","แบตเตอรี่หมด","Die Batterie ist leer."
"กระจก","Spiegel/Glas","kra-jok","Nomen","Home,A2","4","กระจกสะอาด","Der Spiegel ist sauber."
"ผ้าห่ม","Decke","phaa-hom","Nomen","Home,A2","4","ผ้าห่มอุ่น","Die Decke ist warm."
"หมอน","Kissen","mon","Nomen","Home,A1","4","หมอนนุ่ม","Das Kissen ist weich."
"ผ้าเช็ดตัว","Handtuch","phaa-chet-tua","Nomen","Home,A2","4","ผ้าเช็ดตัวเปียก","Das Handtuch ist nass."
"แปรงสีฟัน","Zahnbürste","praeng-sii-fan","Nomen","Home,A2","4","ฉันแปรงฟันด้วยแปรงสีฟัน","Ich putze meine Zähne mit der Zahnbürste."
"ยาสีฟัน","Zahnpasta","yaa-sii-fan","Nomen","Home,A2","4","ยาสีฟันมีรส","Zahnpasta hat einen Geschmack."
"มีด","Messer","miit","Nomen","Food,A2","4","มีดเหลม","Das Messer ist scharf."
"ช้อน","Löffel","chon","Nomen","Food,A2","4","ช้อนของฉัน","Mein Löffel."
"ส้อม","Gabel","som","Nomen","Food,A2","4","ส้อมยาว","Die Gabel ist lang."
"หม้อ","Topf","moh","Nomen","Home,A2","4","หม้อขนาดใหญ่","Der Topf ist groß."
"กระทะ","Pfanne","kra-tha","Nomen","Home,A2","4","กระทะร้อน","Die Pfanne ist heiß."
"ขวด","Flasche","khuat","Nomen","Food,A2","4","ขวดน้ำ","Die Wasserflasche."
"ร้านสะดวกซื้อ","Minimarkt","raan-sa-duak-sue","Nomen","Shopping,A2","4","ร้านสะดวกซื้ออยู่ตรงนี้","Der Minimarkt ist gleich hier."
"ห้างสรรพสินค้า","Einkaufszentrum","haang-san-pha-sin-khaa","Nomen","Shopping,A2","4","ห้างสรรพสินค้าใหญ่","Das Einkaufszentrum ist groß."
"โรงพัก","Polizeiwache","rong-phak","Nomen","Basics,A2","4","โรงพักอยู่ไกล","Die Polizeiwache ist weit weg."
"วัด","Tempel","wat","Nomen","Travel,A2","4","วัดใหญ่ทำให้ประทับใจ","Der Tempel ist beeindruckend."
"พิพิธภัณฑ์","Museum","phi-phi-tha-phan","Nomen","Travel,A2","4","พิพิธภัณฑ์เปิดตอนเช้า","Das Museum öffnet morgens."
"ห้องสมุด","Bibliothek","hong-sa-mut","Nomen","Education,A2","4","ห้องสมุดเงียบ","Die Bibliothek ist ruhig."
"สระว่ายน้ำ","Schwimmbad/Pool","sa-waai-nam","Nomen","Leisure,A2","4","สระว่ายน้ำเปิดวันจันทร์","Das Schwimmbad ist montags geöffnet."
"ข้าวผัด","gebratener Reis","khao-phat","Nomen","Food,A2","4","ข้าวผัดอร่อย","Gebratener Reis ist lecker."
"ก๋วยเตี๋ยว","Nudelsuppe","kuai-tiao","Nomen","Food,A2","4","ก๋วยเตี๋ยวร้อน","Nudelsuppe ist heiß."
"ส้มตำ","Papayasalat","som-tam","Nomen","Food,A2","4","ส้มตำเผ็ด","Der Papayasalat ist scharf."
"ข้าวเหนียว","Klebreis","khao-niao","Nomen","Food,A2","4","ข้าวเหนียวอร่อย","Klebreis ist lecker."
"น้ำปลา","Fischsoße","nam-plaa","Nomen","Food,A2","4","น้ำปลามีกลิ่น","Fischsoße hat einen Geruch."
"เกลือ","Salz","gluea","Nomen","Food,A2","4","เกลือขาว","Das Salz ist weiß."
"พริก","Chili","phrik","Nomen","Food,A2","4","พริกแดง","Die Chili ist rot."
"กระเทียม","Knoblauch","kra-thiam","Nomen","Food,A2","4","กระเทียมร้อน","Knoblauch ist warm."
"หัวหอม","Zwiebel","hua-hom","Nomen","Food,A2","4","หัวหอมอ่อน","Die Zwiebel ist zart."
"มะนาว","Limette","ma-naao","Nomen","Food,A2","4","มะนาวเปรี้ยว","Die Limette ist sauer."
"กล้วย","Banane","kluai","Nomen","Food,A1","4","กล้วยเหลือง","Die Banane ist gelb."
"มะม่วง","Mango","ma-muang","Nomen","Food,A2","4","มะม่วงหวาน","Die Mango ist süß."
"สับปะรด","Ananas","sap-pa-rot","Nomen","Food,A2","4","สับปะรดเขียว","Ananas ist grün."
"แตงโม","Wassermelone","taeng-mo","Nomen","Food,A2","4","แตงโมหวาน","Wassermelone ist süß."
"ส้ม","Orange","som","Nomen","Food,A1","4","ส้มสด","Orange ist frisch."
"แอปเปิล","Apfel","aep-poen","Nomen","Food,A2","4","แอปเปิลแดง","Der Apfel ist rot."
"ข้าวโพด","Mais","khao-phot","Nomen","Food,A2","4","ข้าวโพดนุ่ม","Mais ist zart."
"เสื้อกันฝน","Regenjacke","suea-kan-fon","Nomen","Clothes,A2","4","เสื้อกันฝนสีเขียว","Die Regenjacke ist grün."
"เสื้อยืด","T-Shirt","suea-yuet","Nomen","Clothes,A2","4","เสื้อยืดสีน้ำเงิน","Das T-Shirt ist blau."
"กางเกงยีนส์","Jeans","gaang-geng-yiin","Nomen","Clothes,A2","4","กางเกงยีนส์ฟาด","Die Jeans sind zerrissen."
"กระโปรง","Rock","kra-pro-ng","Nomen","Clothes,A2","5","กระโปรงสั้น","Der Rock ist kurz."
"ถุงเท้า","Socken","thung-thao","Nomen","Clothes,A2","5","ถุงเท้าสีขาว","Die Socken sind weiß."
"นก","Vogel","nok","Nomen","Animals,A2","5","นกร้องเพลง","Der Vogel singt."
"วัว","Kuh","wua","Nomen","Animals,A2","5","วัวกินหญ้า","Die Kuh isst Gras."
"แขน","Arm","khaen","Nomen","Health,A2","5","แขนของฉันปวด","Mein Arm tut weh."
"ขา","Bein","khaa","Nomen","Health,A2","5","ขายาว","Das Bein ist lang."
"ท้อง","Bauch","thong","Nomen","Health,A2","5","ท้องของเขาปวด","Sein Bauch tut weh."
"คอ","Hals","kho","Nomen","Health,A2","5","คอของฉันปวด","Mein Hals tut weh."
"ไหล่","Schulter","lai","Nomen","Health,A2","5","ไหล่กว้าง","Die Schulter ist breit."
"ดีใจ","froh","dii-jai","Adjektiv","Basics,A2","5","มันดีใจ","Es ist froh."
"เสียใจ","traurig","sia-jai","Adjektiv","Basics,A2","5","มันเสียใจ","Es ist traurig."
"โกรธ","wütend","grot","Adjektiv","Basics,A2","5","มันโกรธ","Es ist wütend."
"กลัว","ängstlich","klua","Adjektiv","Basics,A2","5","มันกลัว","Es ist ängstlich."
"กังวล","besorgt","kang-won","Adjektiv","Basics,A2","5","มันกังวล","Es ist besorgt."
"ไม่เป็นไร","macht nichts / kein Problem","mai-pen-rai","Phrase","Basics,A1","5","ไม่เป็นไร","macht nichts / kein Problem"
"ขอหน่อย","bitte (kurz)","kho-noi","Phrase","Basics,A2","5","ขอหน่อย","bitte (kurz)"
"ช่วยด้วย","Hilfe!","chuay-duay","Phrase","Basics,A2","5","ช่วยด้วย","Hilfe!"
"ไปทางไหน","wo geht's lang?","pai-thaang-nai","Phrase","Travel,A2","5","ไปทางไหน","wo geht's lang?"
"ราคาเท่าไหร่","wie viel kostet das?","raa-khaa-thao-rai","Phrase","Shopping,A1","5","ราคาเท่าไหร่","wie viel kostet das?"
"ฉันไม่รู้","ich weiß nicht","chan-mai-ruu","Phrase","Basics,A1","5","ฉันไม่รู้","ich weiß nicht"
"ฉันเข้าใจแล้ว","ich habe verstanden","chan-khao-jai-laeo","Phrase","Basics,A2","5","ฉันเข้าใจแล้ว","ich habe verstanden"
"พูดช้าๆ","bitte langsam sprechen","phuut-chaa-chaa","Phrase","Basics,A2","5","พูดช้าๆ","bitte langsam sprechen"
"สิบเอ็ด","elf","sip-et","Zahl","Basics,A2","5","สิบเอ็ด","elf"
"สิบสอง","zwölf","sip-song","Zahl","Basics,A2","5","สิบสอง","zwölf"
"สิบสาม","dreizehn","sip-saam","Zahl","Basics,A2","5","สิบสาม","dreizehn"
"สิบสี่","vierzehn","sip-sii","Zahl","Basics,A2","5","สิบสี่","vierzehn"
"สิบห้า","fünfzehn","sip-haa","Zahl","Basics,A2","5","สิบห้า","fünfzehn"
"สิบหก","sechzehn","sip-hok","Zahl","Basics,A2","5","สิบหก","sechzehn"
"สิบเจ็ด","siebzehn","sip-jet","Zahl","Basics,A2","5","สิบเจ็ด","siebzehn"
"สิบแปด","achtzehn","sip-paet","Zahl","Basics,A2","5","สิบแปด","achtzehn"
"สิบเก้า","neunzehn","sip-gao","Zahl","Basics,A2","5","สิบเก้า","neunzehn"
"สามสิบ","dreißig","saam-sip","Zahl","Basics,A2","5","สามสิบ","dreißig"
"สี่สิบ","vierzig","sii-sip","Zahl","Basics,A2","5","สี่สิบ","vierzig"
"ห้าสิบ","fünfzig","haa-sip","Zahl","Basics,A2","5","ห้าสิบ","fünfzig"
"หกสิบ","sechzig","hok-sip","Zahl","Basics,A2","5","หกสิบ","sechzig"
"เจ็ดสิบ","siebzig","jet-sip","Zahl","Basics,A2","5","เจ็ดสิบ","siebzig"
"แปดสิบ","achtzig","paet-sip","Zahl","Basics,A2","5","แปดสิบ","achtzig"
"เก้าสิบ","neunzig","gao-sip","Zahl","Basics,A2","5","เก้าสิบ","neunzig"
"หนึ่งร้อย","hundert","nueng-roi","Zahl","Basics,A2","5","หนึ่งร้อย","hundert"
"สองร้อย","zweihundert","song-roi","Zahl","Basics,A2","5","สองร้อย","zweihundert"
"พันหนึ่ง","tausend","phan-nueng","Zahl","Basics,A2","5","พันหนึ่ง","tausend"
"มกราคม","Januar","ma-ga-raa-khom","Nomen","Time,A2","5","มกราคมเย็น","Der Januar ist kalt."
"กุมภาพันธ์","Februar","gum-pha-phan","Nomen","Time,A2","5","กุมภาพันธ์ร้อน","Der Februar ist warm."
"มีนาคม","März","mii-naa-khom","Nomen","Time,A2","5","มีนาคมแล้ง","Der März ist trocken."
"เมษายน","April","mee-saa-yon","Nomen","Time,A2","5","เมษายนมีฝน","Der April hat Regen."
"พฤษภาคม","Mai","phrueut-sa-phaa-khom","Nomen","Time,A2","5","พฤษภาคมเริ่มฝนตก","Der Mai beginnt zu regnen."
"มิถุนายน","Juni","mi-thu-naa-yon","Nomen","Time,A2","5","มิถุนายนมีฝน","Der Juni hat viel Regen."
"กรกฎาคม","Juli","ga-rá-ga-daa-khom","Nomen","Time,A2","5","กรกฎาคมฝนตก","Der Juli ist regnerisch."
"สิงหาคม","August","sing-haa-khom","Nomen","Time,A2","5","สิงหาคมร้อนและเปียก","Der August ist heiß und nass."
"กันยายน","September","gan-yaa-yon","Nomen","Time,A2","5","กันยายนเย็นลง","Der September wird kühler."
"ตุลาคม","Oktober","tu-laa-khom","Nomen","Time,A2","5","ตุลาคมอากาศดี","Der Oktober hat gutes Wetter."
"พฤศจิกายน","November","phruet-sa-ji-gaa-yon","Nomen","Time,A2","5","พฤศจิกายนเริ่มเย็น","Der November wird kalt."
"ธันวาคม","Dezember","than-waa-khom","Nomen","Time,A2","5","ธันวาคมหนาวมาก","Der Dezember ist sehr kalt."
"เหนือ","Norden","nuea","Nomen","Travel,A2","5","ไปเหนือกันได้ไหม","Können wir in den Norden gehen?"
"ใต้","Süden","tai","Nomen","Travel,A2","5","ใต้ร้อน","Der Süden ist heiß."
"ตะวันออก","Osten","ta-wan-ok","Nomen","Travel,A2","5","ตะวันออกไกล","Der Osten ist weit weg."
"ตะวันตก","Westen","ta-wan-tok","Nomen","Travel,A2","5","ตะวันตกสวย","Der Westen ist schön."
"ใกล้ๆ","in der Nähe","glai-glai","Adverb","Travel,A2","5","ใกล้ๆ","in der Nähe"
"ข้างหน้า","vorne","khaang-naa","Nomen","Travel,A2","5","มีรถข้างหน้า","Es gibt ein Auto vorne."
"ข้างหลัง","hinten","khaang-lang","Nomen","Travel,A2","5","นั่งข้างหลัง","Hinten sitzen."
"ข้างใน","drinnen","khaang-nai","Nomen","Travel,A2","5","อยู่ข้างใน","Drinnen sein."
"ข้างนอก","draußen","khaang-nok","Nomen","Travel,A2","5","เล่นข้างนอก","Draußen spielen."
"ฝนตก","es regnet","fon-tok","Phrase","Weather,A1","5","ฝนตก","es regnet"
"แดดออก","die Sonne scheint","daet-ok","Phrase","Weather,A1","5","แดดออก","die Sonne scheint"
"ลมแรง","starker Wind","lom-raeng","Phrase","Weather,A2","5","ลมแรง","starker Wind"
"ข้าวสวย","Reis (gekocht)","khao-suay","Nomen","Food,A2","5","ข้าวสวยอร่อย","Der Reis ist lecker."
"เส้น","Nudeln (allg.)","sen","Nomen","Food,A2","5","เส้นนุ่ม","Die Nudeln sind weich."
